,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.773080930212495,0.3664025872301793,5.100651616209044,5.518020920724049,5.7614063152517625,6.014333764897797,6.521216921271639,0.00656506497032313,2
1,v,-0.05006068863698234,0.062249320330230576,-0.1727952194747768,-0.09128782398346103,-0.050007382893880736,-0.008875587922133443,0.07274338362368032,0.001170513328322055,2
2,t,0.6073367872299484,0.24852483971823386,0.18559948410791266,0.4207967516611417,0.5863426718502236,0.7730933411316481,1.1366731781848953,0.004433403310238575,2
3,z,0.5288434126971235,0.048795834891490024,0.43310748631030266,0.4959353554838379,0.5286234797500434,0.5611395741308617,0.6242273844793037,0.0009723535874463101,2
4,a,5.986270067620258,0.4300220447091338,5.201956243179702,5.677088904090986,5.975959008023913,6.268779761663887,6.875733737187353,0.007886131719068958,5
5,v,-0.1798442018546301,0.06798460584451238,-0.3163069850627866,-0.22365110655660003,-0.18027059850171795,-0.1339436851612652,-0.050094009490751046,0.0013406970946659648,5
6,t,0.6032325459695307,0.2793175393437195,0.17104232510925077,0.40357782417813526,0.5616377091041113,0.7651913943244121,1.241162046056021,0.004898921493501574,5
7,z,0.5254763181397613,0.05345346666655221,0.4217423844500432,0.4895554699154581,0.5253377322630374,0.560822429591534,0.6327004866084659,0.0010201622248445146,5
8,a,5.21921825609797,0.3662735983084606,4.55514052447142,4.972527140684831,5.199746259956012,5.45351048425749,5.987799832879179,0.005942787966840892,7
9,v,-0.21716436806448713,0.07766834536553359,-0.3681283274659683,-0.27152043243817503,-0.21594785593563087,-0.16525247787638747,-0.06496709131766487,0.0013971148406631366,7
10,t,0.4102730789042311,0.1626075174988078,0.13055486081939932,0.291578846630822,0.3991335253568531,0.5198390900585868,0.7522365548783848,0.002859989511031861,7
11,z,0.5029563819629744,0.053520988503552976,0.39603156377384197,0.46705089411024486,0.5027755406244904,0.5395378424841513,0.6096712740796211,0.0010629249658808215,7
12,a,5.725805684265126,0.4460071698643172,4.91913931525115,5.4043504371409785,5.713087804444953,6.0135445925031545,6.654011439371706,0.007855380481371677,9
13,v,-0.23021044820541367,0.07555901393597132,-0.38050775723758984,-0.281203836677447,-0.2317790544618219,-0.17946093717752695,-0.07941934193322647,0.0012632717936659009,9
14,t,0.5448376083163743,0.2577580077226961,0.16202102573069949,0.3494606582356126,0.510724445823204,0.6993334193935122,1.1466047053147121,0.0048407562268094825,9
15,z,0.4935754145973556,0.058543931833337316,0.38218147107425227,0.45341862360473095,0.493772404932498,0.5329365016040046,0.6106336219778391,0.0011549064114415532,9
16,a,5.5022506127074555,0.4610006046931754,4.661414780145445,5.17693041873032,5.4832459748185025,5.791945247477491,6.456491455172026,0.007646618379246193,10
17,v,-0.2396655070082419,0.0898050232525351,-0.41667906698525387,-0.3004938104939659,-0.23986684366710453,-0.17772134891011132,-0.06439012367653019,0.001714205960979953,10
18,t,0.40690255238316464,0.17340704497956477,0.1209179021672339,0.276045940097492,0.3894693389178606,0.5208900371591009,0.7789297293485173,0.002783541620219176,10
19,z,0.583694625671646,0.0596420041131359,0.46136786895551807,0.5450217698258514,0.5862136134882605,0.6251857667999258,0.6943789271534203,0.0012239185173078446,10
20,a,5.589983478172476,0.4296768853698996,4.8006390999578965,5.287658583725498,5.573925982183307,5.8714979666061895,6.513217916772733,0.006338988346010202,11
21,v,-0.19889197753413512,0.08082578114796167,-0.3565427452482884,-0.2536193369833204,-0.1999513453653492,-0.14552102011565426,-0.03830760525723387,0.001574763133733698,11
22,t,0.5256001442711686,0.24125517105142388,0.15240409145827438,0.34612383047652684,0.49036360055872785,0.6711984598196756,1.0795618347941103,0.004094716764572326,11
23,z,0.5229673462226426,0.059712221055048496,0.40577661381393026,0.48282005660473043,0.5230641239329308,0.5639926698259806,0.6392807859726717,0.001070447760806229,11
24,a,4.820018699485583,0.39730098299883854,4.091040608618118,4.536324185748124,4.809603585264091,5.078820500991453,5.650122140027817,0.006894231474776679,17
25,v,-0.2082047426723458,0.09543951929514495,-0.39672937049160906,-0.27308674995841775,-0.20901956147529813,-0.14308140271816705,-0.022837958773699873,0.0018422711971829548,17
26,t,0.653957501073235,0.2778797328506124,0.20154705148674604,0.442283461541175,0.6276077846510717,0.8382502351432731,1.2593115538229358,0.005013785850086742,17
27,z,0.5164829672648703,0.06079408401999041,0.4006887555665616,0.4747521897620421,0.5151201372040881,0.5579228600783551,0.6351397576640365,0.0012054724690481362,17
28,a,4.515533531248514,0.4242496974170281,3.7573270738168087,4.218472321700972,4.498223656415371,4.786259833089332,5.422903914577245,0.007788738384905533,19
29,v,0.03040531383215145,0.1135821530162811,-0.19397337247687352,-0.047907738532236344,0.030698323574874536,0.10626565238972147,0.2548085612436226,0.0021425641410821377,19
30,t,0.6548426295058236,0.29448000705544947,0.18590985107143637,0.4354580524670351,0.6209137404292122,0.8335354677546285,1.315806058539283,0.005037042278858718,19
31,z,0.4681360576521012,0.06676894959909842,0.34141095790848996,0.4229594744397512,0.46666159376495236,0.5140846747595331,0.6029308680790664,0.001368948226616228,19
32,a,4.287757446228924,0.43882911544528025,3.4947422792010996,3.97744569697803,4.267521979294521,4.575657405594066,5.221002069346703,0.007174321546393336,31
33,v,-0.1892140579896414,0.1377559696590429,-0.45995531897572595,-0.28262770844583784,-0.18900072633317044,-0.09728801878824034,0.07932670466505276,0.002371920793422411,31
34,t,0.5869078142881449,0.2693046319608156,0.16109582883694545,0.3817459089377037,0.5531249837453884,0.7536376268887092,1.1946690851985649,0.004716763196106184,31
35,z,0.5462609787261096,0.07315737327017752,0.39895312534260297,0.49660091414749413,0.5473933087352939,0.5972987100608257,0.6826842916871754,0.00133203744014063,31
36,a,4.784400446834773,0.48449439402648287,3.915765737296052,4.4409764548603015,4.755850777584383,5.086328565960882,5.809159899359102,0.008514802418328008,46
37,v,-0.2848116116250491,0.12052312218556735,-0.525851781495215,-0.3653535037840272,-0.2830944585347105,-0.20137922129564734,-0.05576510413991942,0.002356253680123891,46
38,t,0.4531016627646859,0.19885902877644568,0.13236875615204924,0.3041956155897739,0.43188411231661705,0.5818789870264595,0.8831928178895234,0.003708191324982129,46
39,z,0.4957537989442949,0.07161027274363191,0.35486555988108326,0.4466309383221065,0.4949130590626089,0.5450386604319022,0.6357954052612201,0.0014460124518869684,46
40,a,6.179599955001219,0.3683168775779972,5.48164256528299,5.9281992314736005,6.161700382267644,6.420320715829896,6.958516120893965,0.006734237003696418,4
