,mean,std,2.5q,25q,50q,75q,97.5q,mc err,param,subject,actions
0,2.781491658334815,0.6369016410431115,1.3043099413702097,2.4082466897982755,2.921423070020132,3.2103027850181345,3.833942912254755,0.014888241972715419,a,,DCD
1,0.9438488603120884,0.6907111068111772,0.15239238386235254,0.42531216455794185,0.7696669550707438,1.2745187505976014,2.705786604042398,0.021254960692569397,a_std,,DCD
2,3.4265754281690706,0.11002293883458801,3.202810969403629,3.3552061741140626,3.426764706519985,3.5019074321434114,3.6403255041257907,0.00325328296603283,a,Pro-self,DCD
3,2.991867407499854,0.11938596485778179,2.762209637685424,2.9116856096274817,2.9885616489518507,3.0704149585427247,3.2365855374989065,0.004420037244486222,a,Pro-social,DCD
4,0.2731338780340477,0.9727300995487772,-1.526444616405753,-0.23311784889092677,0.1858402849539799,0.6743347269704189,2.5707305301300036,0.015679145349132794,v,,DCD
5,1.2975440709436068,0.8729210999965495,0.30194502860597083,0.6433306444146883,1.0570097211067835,1.7083042545219875,3.532808408225708,0.023169503841073358,v_std,,DCD
6,-0.3428906111237864,0.052596925755205255,-0.44556024292810814,-0.3785070435079011,-0.3428250344273316,-0.30812462175615996,-0.23777427946689872,0.0012830715259613246,v,Pro-self,DCD
7,0.4775455544689392,0.0638166731172317,0.3517134344539914,0.4346644537730926,0.4780397729437544,0.5191379650541166,0.6033463094186935,0.0021535068414442727,v,Pro-social,DCD
8,0.3534154355980417,0.1641793206479482,0.10318068967524198,0.23141579264320133,0.3306484163303538,0.4533762592378636,0.7343436938815173,0.005464345776171339,t,,DCD
9,0.7444590574999759,0.47892470909554674,0.06665404912392942,0.378860871051953,0.6705736465686807,1.0253664163656806,1.8703354918242547,0.021049063595426076,t_std,,DCD
10,0.032012450264929576,0.03970560818977164,1.670211957145815e-08,0.0006761231390458207,0.014113616450191458,0.053148081569376296,0.13503217651738794,0.00192145409525958,t,Pro-self,DCD
11,0.08870677868441929,0.054313975700883504,8.791158429116015e-06,0.045508325382805276,0.09241509752017285,0.12928045201965177,0.18762449730448372,0.0025837188383861995,t,Pro-social,DCD
12,0.5019009430210365,0.02386731789642832,0.45518749836464095,0.48618728992442617,0.5015621961840766,0.5169646916232905,0.5485889118018016,0.0008118103971784354,z,,DCD
13,0.07861568672898427,0.03972527198466519,0.00641085854245191,0.04997690675445295,0.07785600721829894,0.10603441167124407,0.15827489567410863,0.0017483836650161988,z_std,,DCD
14,0.478838543171147,0.023857476012336717,0.4313512644633071,0.4629350630395313,0.47979577831386366,0.4949107686040627,0.5255964208803326,0.0008956228884117867,z,Pro-self,DCD
15,0.5249546542330128,0.026502076592968195,0.47791298307584157,0.5059994406698565,0.5238388278180692,0.5427809461948425,0.5784917581201271,0.0011941991700470465,z,Pro-social,DCD
